x1_init1,x2_init1,u1,comp_time_1,u_bound_1,k1_1,k2_1
-2.1378645602575852e-09,3.690859385223036e-08,-3.811868837233363e-07,0.04533958435058594,15.048813503927324,-94.55965920126995,-15.805062373692014
1.5529948249654506e-09,-2.6308548363803532e-08,2.6895758650330933e-07,0.04050874710083008,15.048813503927324,-94.55965922090836,-15.805062376454188
-1.0778600114149029e-09,1.8536107221430095e-08,-1.9104225549560387e-07,0.0393524169921875,15.048813503927324,-94.55965922837322,-15.805062377508454
7.757507107281067e-10,-1.3181414785361016e-08,1.349783600359181e-07,0.0399017333984375,15.048813503927324,-94.55965921180126,-15.80506237517467
-5.423907678079951e-10,9.304655456290654e-09,-9.57723737048624e-08,0.04284501075744629,15.048813503927324,-94.55965921470883,-15.805062375583882
3.880747778210703e-10,-6.6068202649436065e-09,6.77249876484344e-08,0.04930377006530762,15.048813503927324,-94.55965920973122,-15.805062374884852
-2.726072486732904e-10,4.669274501437427e-09,-4.8020526211545405e-08,0.03955483436584473,15.048813503927324,-94.55965921889896,-15.805062376173165
1.9432020147045227e-10,-3.3122879627048814e-09,3.3976065821659715e-08,0.04410743713378906,15.048813503927324,-94.55965919555138,-15.805062372887937
-1.369085948000359e-10,2.3426875838941317e-09,-2.4080293323149633e-08,0.04141879081726074,15.048813503927324,-94.5596592201516,-15.805062376351461
9.736016358937729e-11,-1.6608503261424628e-09,1.7043499113084258e-08,0.04188036918640137,15.048813503927324,-94.55965922929292,-15.805062377639173
-6.872486902486901e-11,1.175238347585485e-09,-1.207611519440552e-08,0.040213823318481445,15.048813503927324,-94.55965920650192,-15.805062374428278
4.8798965733679495e-11,-8.328664310411659e-10,8.549092322679826e-09,0.043148040771484375,15.048813503927324,-94.55965920523826,-15.805062374250054
-3.4487677370437094e-11,5.895269226907857e-10,-6.0563667658314495e-09,0.041432857513427734,15.048813503927324,-94.55965921207466,-15.80506237521422
2.446501489864148e-11,-4.176833722018566e-10,4.288108279260446e-09,0.039476633071899414,15.048813503927324,-94.55965921077109,-15.805062375028102
-1.730332232154418e-11,2.957057843576115e-10,-3.0374521044496013e-09,0.04086923599243164,15.048813503927324,-94.5596592090841,-15.805062374795096
1.2267256114216969e-11,-2.094769021844225e-10,2.1508079476371657e-09,0.03399300575256348,15.048813503927324,-94.5596592163444,-15.805062375814257
-8.680434104225282e-12,1.483208952606027e-10,-1.5234021103626755e-09,0.04991865158081055,15.048813503927324,-94.55965920631962,-15.805062374403084
6.151655421834988e-12,-1.050596565594823e-10,1.0787759847200348e-09,0.04503893852233887,15.048813503927324,-94.559659207181,-15.80506237452468
-4.354310234113242e-12,7.439370434151852e-11,-7.640550456442683e-10,0.04756283760070801,15.048813503927324,-94.55965921940393,-15.805062376244337
3.08506020003861e-12,-5.269176165805207e-11,5.410743385620903e-10,0.04029703140258789,15.048813503927324,-94.55965922617074,-15.80506237719801
