sample_id,traj_id,k,x1,x2,u_bound,gamma,u,k1,k2,q11,q12,q22,y1,y2,x1_next,x2_next,solve_time
242,4,42,-0.2611140635886873,0.1994350152953587,2.2860339907042957,0.5454333362638915,2.2721560146011957,-9.681291625314863,-1.2824497347825905,0.074067159062901,-0.1115606781510491,0.6408868196117936,-0.5739948046395483,0.25814632726139525,-0.2411705620591514,0.19876217987864997,0.07111096382141113
243,4,43,-0.2411705620591514,0.19876217987864997,2.2860339907042957,0.4420642027964122,2.2595155742952895,-10.60015479434841,-1.4938944398426766,0.06343840316637363,-0.10224601793407714,0.5986593449698807,-0.5197121357820702,0.1894897503965768,-0.2212943440712864,0.19770009368490432,0.0631260871887207
244,4,44,-0.2212943440712864,0.19770009368490432,2.2860339907042957,0.35425218073453746,2.241353456435722,-11.680870476314853,-1.7377690996423691,0.05363602385792003,-0.09278286320920623,0.5544795800912161,-0.4652802548875938,0.12022712690318513,-0.20152433470279596,0.19616452638998175,0.12894487380981445
245,4,45,-0.20152433470279596,0.19616452638998175,2.2860339907042957,0.2806575648757198,2.2165633532523303,-12.967125374197686,-2.0219148083996217,0.04467429175640319,-0.08321419078672805,0.5082073176468729,-0.41104513758808936,0.0514969435566454,-0.1819078820637978,0.19405998853995657,0.08039617538452148
246,4,46,-0.1819078820637978,0.19405998853995657,2.2860339907042957,0.2199740253248645,2.1839655874000496,-14.520651761473546,-2.357288713440116,0.03656518181885465,-0.07359547318876662,0.45969908790422015,-0.35746449347838816,-0.014989234100390006,-0.16250188320980213,0.19128409058237958,0.0753779411315918
247,4,47,-0.16250188320980213,0.19128409058237958,2.2860339907042957,0.17097817581375713,2.142430208043667,-16.432739142844234,-2.7598784998619292,0.029317318202059798,-0.06400167348835979,0.40889261645310837,-0.3051269997665003,-0.07677113576151826,-0.14337347415156418,0.18773766643127454,0.053815364837646484
248,4,48,-0.14337347415156418,0.18773766643127454,2.2860339907042957,0.13264906317115258,2.0911025769046274,-18.847010327517474,-3.2548544079493675,0.02293428918370227,-0.054528349459274435,0.35580930461648286,-0.25476094650378606,-0.1304111181189315,-0.12459970750843673,0.18334353944552165,0.06456971168518066
249,4,49,-0.12459970750843673,0.18334353944552165,2.2860339907042957,0.10453753957828285,2.0298232386306543,-22.007317766823448,-3.884958915459447,0.017411006254745787,-0.04528239418688322,0.3005705305087611,-0.20724930627866012,-0.17116012411108913,-0.10626535356388456,0.17808144282478466,0.050945281982421875
250,5,0,-0.11008791327616504,0.2703258797818161,1.682849946864379,0.17674503643712533,1.0878214959835257,-17.193720076738558,-2.9778845790453095,0.01507625942177201,-0.031842426959349864,0.18446548461095202,-0.16439391210061566,-0.0018271462860189583,-0.08305532529798343,0.1126441397120851,0.05951237678527832
251,5,1,-0.08305532529798343,0.1126441397120851,1.682849946864379,0.17674503656610602,1.0925885654955456,-17.193716837412815,-2.9778839837968283,0.015076268302355875,-0.03184246912020707,0.18446579570540417,-0.16439390935795964,-0.001827341132558607,-0.07179091132677493,0.09725113407570796,0.0545964241027832
252,5,2,-0.07179091132677493,0.09725113407570796,1.682849946864379,0.17674503655634888,0.9447500741995206,-17.1937171718459,-2.977883532305816,0.015076266681074679,-0.03184247001743546,0.18446584792949444,-0.1643938982288592,-0.0018273872893020554,-0.06206579791920413,0.08407694424707307,0.054909467697143555
253,5,3,-0.06206579791920413,0.08407694424707307,1.682849946864379,0.17674503654803247,0.8167704757020137,-17.193717687711118,-2.977883342757503,0.015076265307939641,-0.031842470197502463,0.18446587675389328,-0.1643938878963525,-0.0018274186373651265,-0.05365810349449682,0.07268753086245579,0.049114227294921875
254,5,4,-0.05365810349449682,0.07268753086245579,1.682849946864379,0.1767450356273171,0.7061267329208207,-17.193713408997805,-2.977887927483634,0.01507627529220824,-0.03184238639519295,0.18446473360965635,-0.1643940986208689,-0.0018264373251619648,-0.046389350408251234,0.06284092696711417,0.05512285232543945
255,5,5,-0.046389350408251234,0.06284092696711417,1.682849946864379,0.17674503562703403,0.6104719653396625,-17.19371356428509,-2.9778879313952697,0.015076274997661693,-0.0318423861495537,0.18446473483354395,-0.16439409650460413,-0.0018264409700541357,-0.04010525771153982,0.05432823636894286,0.08374381065368652
